,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
0,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As Her Father Nears The End Of His Life, Filmmaker Kirsten Johnson Stages His Death In Inventive And Comical Ways To Help Them Both Face The Inevitable."
1,s2,TV Show,Blood & Water,"Raúl Campos, Jan Suter","Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After Crossing Paths At A Party, A Cape Town Teen Sets Out To Prove Whether A Private-School Swimming Star Is Her Sister Who Was Abducted At Birth."
4,s5,TV Show,Kota Factory,"Raúl Campos, Jan Suter","Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In A City Of Coaching Centers Known To Train India’S Finest Collegiate Minds, An Earnest But Unexceptional Student And His Friends Navigate Campus Life."
7,s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On A Photo Shoot In Ghana, An American Model Slips Back In Time, Becomes Enslaved On A Plantation And Bears Witness To The Agony Of Her Ancestral Past."
8,s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A Talented Batch Of Amateur Bakers Face Off In A 10-Week Competition, Whipping Up Their Best Dishes In The Hopes Of Being Named The U.K.'S Best."
9,s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A Woman Adjusting To Life After A Loss Contends With A Feisty Bird That'S Taken Over Her Garden — And A Husband Who'S Struggling To Find A Way Forward.
12,s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","After Most Of Her Family Is Murdered In A Terrorist Bombing, A Young Woman Is Unknowingly Lured Into Joining The Very Group That Killed Them."
15,s16,TV Show,Dear White People,"Raúl Campos, Jan Suter","Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students Of Color Navigate The Daily Slights And Slippery Politics Of Life At An Ivy League College That'S Not Nearly As ""Post-Racial"" As It Thinks."
17,s18,TV Show,Falsa identidad,"Raúl Campos, Jan Suter","Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego And Isabel Flee Their Home In Mexico And Pretend To Be A Married Couple To Escape His Drug-Dealing Enemies And Her Abusive Husband.
21,s22,TV Show,Resurrection: Ertugrul,"Raúl Campos, Jan Suter","Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When A Good Deed Unwittingly Endangers His Clan, A 13Th-Century Turkish Warrior Agrees To Fight A Sultan'S Enemies In Exchange For New Tribal Land."
